AppID|SteamName|GameFolder|SavePath1|SaveFolder1|ConfigPath1|ConfigFolder1|SavePath2|SaveFolder2|ConfigPath2|ConfigFolder2|SavePath3|SaveFolder3|ConfigPath3|ConfigFolder3
242820|140|140|$STEAMAPPS/140.sav|140|~/.config/unity3d/JeppeCarlsen/140|140|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
260790|1001 Spikes|1001 Spikes|~/.local/share/1001 spikes|1001 spikes|~/.local/share/1001 spikes|1001 spikes|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
278360|A Story About My Uncle|A Story About My Uncle|$STEAMAPPS/ASAMU/Saves|Saves|$STEAMAPPS/ASAMU/Config|Config|[N/A]|[N/A]|$STEAMAPPS/Engine/Config|Config|[N/A]|[N/A]|[N/A]|[N/A]
320140|Absolute Drift|Absolute Drift|[UNKNOWN]|[UNKNOWN]|~/.config/unity3d/Funselektor Labs Inc./Absolute Drift|Absolute Drift|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
285820|Action Henk|Action Henk|~/.config/unity3d/RageSquid/Action Henk|Action Henk|~/.config/unity3d/RageSquid/Action Henk|Action Henk|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
346900|AdVenture Capitalist|AdVenture Capitalist|[CLOUD-ONLY]|[CLOUD-ONLY]|~/.config/unity3d/Hyper Hippo Productions Ltd./AdCap!|AdCap!|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
57300|Amnesia: The Dark Descent|Amnesia The Dark Descent|~/.frictionalgames/Amnesia|Amnesia|~/.frictionalgames/Amnesia|Amnesia|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
18700|And Yet It Moves|And Yet It Moves|~/.Broken Rules/And Yet It Moves|And Yet It Moves|~/.Broken Rules/And Yet It Moves|And Yet It Moves|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
233550|Another World - 20th Anniversary Edition|Another World|~/.local/share/DotEMU/Another World|AnotherWorld|~/.local/share/DotEMU/Another World|AnotherWorld|$STEAMAPPS/Another World/progression.dat|Another World|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
219890|Antichamber|Antichamber|~/.local/share/AlexanderBruce/Antichamber|Antichamber|~/.local/share/AlexanderBruce/Antichamber|Antichamber|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
24420|Aquaria|Aquaria|~/.local/share/Aquaria|Aquaria|~/.local/share/Aquaria/preferences|preferences|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
235800|Audiosurf 2|Audiosurf 2|[N/A]|[N/A]|~/.config/unity3d/Audiosurf, LLC/Audiosurf 2|Audiosurf 2|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
238460|BattleBlock Theater|BattleBlock Theater|$STEAMUSER/238460|238460|$STEAMUSER/238460|238460|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
49600|Beat Hazard|Beat Hazard|~/.local/share/BeatHazard_Linux2|BeatHazard_Linux2|~/.local/share/BeatHazard_Linux2|BeatHazard_Linux2|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
8870|BioShock Infinite|BioShock Infinite|$STEAMUSER/8870|8870|~/.local/share/irrationalgames/bioshockinfinite/GameDocuments/My Games/BioShock Infinite|BioShock Infinite|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
239800|Bleed|Bleed|~/.local/share/Bleed/Bleed/AllPlayers|AllPlayers|~/.local/share/Bleed/Bleed/AllPlayers|AllPlayers|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
111800|Blocks That Matter|Blocks That Matter|~/.BlocksThatMatterUserDatas|.BlocksThatMatterUserDatas|~/.BlocksThatMatterUserDatas|.BlocksThatMatterUserDatas|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
49520|Borderlands 2|Borderlands 2|~/.local/share/aspyr-media/borderlands 2/willowgame/savedata|savedata|~/.local/share/aspyr-media/borderlands 2/willowgame/config|config|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
26800|Braid|Braid|~/.Braid|.Braid|~/.Braid|.Braid|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
225260|Brütal Legend|BrutalLegend|~/.local/share/doublefine/brutallegend/7656*|7656*|~/.local/share/doublefine/brutallegend/7656*|7656*|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
95300|Capsized|Capsized|~/.local/share/Capsized|Capsized|~/.local/share/Capsized|Capsized|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
200900|Cave Story+|Cave Story+|~/.local/share/CaveStory+|CaveStory+|~/.local/share/CaveStory+|CaveStory+|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
251130|Chroma Squad|ChromaSquad|$STEAMAPPS/chromasquad_Data/savedGames|savedGames|~/.config/unity3d/Behold Studios/Chroma Squad|Chroma Squad|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
390610|Circa Infinity|Circa Infinity|~/.config/CircaInfinity|CircaInfinity|~/.config/CircaInfinity|CircaInfinity|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
72000|Closure|Closure|~/.local/share/Eyebrow Interactive/Closure|Closure|~/.local/share/Eyebrow Interactive/Closure|Closure|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
26500|Cogs|Cogs|~/.local/share/Cogs|Cogs|~/.local/share/Cogs|Cogs|$STEAMUSER/26500/remote|remote|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
10|Counter-Strike|Half-Life|[CLOUD-ONLY]|[CLOUD-ONLY]|$STEAMAPPS/cstrike|cstrike|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
80|Counter-Strike: Condition Zero|Half-Life|$STEAMAPPS/czero/Save|Save|$STEAMAPPS/czero|czero|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
730|Counter-Strike: Global Offensive|Counter-Strike Global Offensive|[N/A]|[N/A]|$STEAMAPPS/csgo/cfg|cfg|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
240|Counter-Strike: Source|Counter-Strike Source|[N/A]|[N/A]|$STEAMAPPS/cstrike/cfg|cfg|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
247080|Crypt of the NecroDancer|Crypt of the NecroDancer|$STEAMAPPS/data/save_data.xml|data|$STEAMAPPS/data/save_data.xml|data|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
368650|Dark Echo|Dark Echo|[UNKNOWN]|[UNKNOWN]|~/.config/unity3d/RAC7/Dark Echo|Dark Echo|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
1500|Darwinia|Darwinia|~/.darwinia|.darwinia|~/.darwinia|.darwinia|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
30|Day of Defeat|Half-Life|[N/A]|[N/A]|$STEAMAPPS/dod|dod|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
284460|DeadCore|Deadcore|$STEAMAPPS/7656*|7656*|$STEAMAPPS/7656*|7656*|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
40|Deathmatch Classic|Half-Life|[N/A]|[N/A]|$STEAMAPPS/dmc|dmc|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
